file,GILS_cost,DBMEA_cost,GRASP_cost,GILS_time,DBMEA_time,GRASP_time,min_method,n,m,ratio1,ratio2,density,avg_clustering,mst_size,tsp_approx,edge_min,edge_max,edge_mean,edge_std,edge_var,edge_q25,edge_q75,between_min,between_max,between_mean,between_std,between_var,between_q25,between_q75,closeness_min,closeness_max,closeness_mean,closeness_std,closeness_var,closeness_q25,closeness_q75,prediction,selection_cost,selection_time,correct,actual_predicted
hk48.tsp,234801.0,245749.0,285599.0,4.496325969696045,5.451887607574463,0.0255353450775146,GILS_cost,48,1176,0.0408163265306122,24.5,1.0425531914893618,0.3375950993504011,47,1167133.0,0.0,2734.0,1001.5486111111112,592.2699017558201,350783.6365258488,550.75,1374.0,0.0217391304347826,0.0428951657589858,0.0286320147962508,0.006235267403675,3.8878559595332335e-05,0.0229615435443372,0.0327924339833669,0.0005879041841265,0.0013633462899576,0.0010324677691356,0.0002189998899417,4.796095179451879e-08,0.0008817906396132,0.0012322497304303,DBMEA_cost,245749.0,5.451887607574463,0,GILS_cost DBMEA_cost
kroA100.tsp,1070206.0,1054304.0,1903677.0,44.28989577293396,76.48229765892029,0.2182133197784423,DBMEA_cost,100,5050,0.0198019801980198,50.5,1.02020202020202,0.3683178845225885,99,1196047.0,0.0,4150.0,1693.5934,927.2014221712776,859702.47727644,969.0,2360.5,0.010204081632653,0.025245673627993,0.0146241647745086,0.0038869214580568,1.5108158421102849e-05,0.0110184080847346,0.0172603221426388,0.0004346470797423,0.0007770434673406,0.0006001343171347,9.54528677081072e-05,9.111249953701416e-09,0.0005109664612868,0.0006728326767688,DBMEA_cost,1054304.0,76.48229765892029,1,DBMEA_cost DBMEA_cost
kroB100.tsp,1118817.0,1032121.0,2029719.0,46.88641977310181,58.52865815162659,0.211301565170288,DBMEA_cost,100,5050,0.0198019801980198,50.5,1.02020202020202,0.3616399200062732,99,1138252.0,0.0,4167.0,1670.6668,923.7124928124337,853244.76937776,951.0,2342.0,0.010204081632653,0.0274627606594463,0.0148282739206083,0.0041165278643834,1.6945801658245294e-05,0.0110217824503538,0.0173232220695478,0.0004053423300223,0.000790362369171,0.000610492554523,0.0001038885628247,1.0792833485791938e-08,0.0005171003758992,0.0006972137946954,DBMEA_cost,1032121.0,58.52865815162659,1,DBMEA_cost DBMEA_cost
kroC100.tsp,1092884.0,1010140.0,1928694.0,43.61227202415466,66.87041068077087,0.2107279300689697,DBMEA_cost,100,5050,0.0198019801980198,50.5,1.02020202020202,0.3617290028710548,99,1088246.0,0.0,4187.0,1683.5478,921.8353994695364,849780.50371516,960.0,2345.25,0.010204081632653,0.0251395337234936,0.0143865704923321,0.0033728082510646,1.137583549844969e-05,0.0112837087326883,0.0171403198780058,0.0004371652263765,0.0007645791339403,0.0006013409552459,8.783926478080225e-05,7.715736437231887e-09,0.0005194150765552,0.0006699680080319,DBMEA_cost,1010140.0,66.87041068077087,1,DBMEA_cost DBMEA_cost
kroD100.tsp,1100068.0,1031287.0,2019253.0,43.36691927909851,66.87906384468079,0.2172334194183349,DBMEA_cost,100,5050,0.0198019801980198,50.5,1.02020202020202,0.3636287970249678,99,1140443.0,0.0,4028.0,1614.793,877.9926378683366,770871.072151,954.0,2198.25,0.010204081632653,0.0262804646629468,0.014778850226845,0.0037740680244251,1.4243589452988018e-05,0.0113913061617143,0.0171682308458502,0.000439205526004,0.0008307669069457,0.0006329096915375,0.0001103410130452,1.2175139159848428e-08,0.0005294750106354,0.0007209966024901,DBMEA_cost,1031287.0,66.87906384468079,1,DBMEA_cost DBMEA_cost
kroE100.tsp,1067892.0,1062846.0,2037197.0,50.3630895614624,62.90598011016846,0.2097222805023193,DBMEA_cost,100,5050,0.0198019801980198,50.5,1.02020202020202,0.3725077329296709,99,1259608.0,0.0,4138.0,1714.8328,944.728761097152,892512.4320441599,961.75,2430.75,0.010204081632653,0.0257222025642387,0.0146593425054453,0.0038697356461003,1.4974853970699474e-05,0.0116153473064419,0.0172983989658386,0.0004194310989094,0.0007682696859406,0.0005922882984338,9.35390715770537e-05,8.749557911497176e-09,0.0005189804181471,0.0006531261955401,DBMEA_cost,1062846.0,62.90598011016846,1,DBMEA_cost DBMEA_cost
lin105.tsp,675995.0,705856.0,1194536.0,34.05562734603882,71.41003775596619,0.2420289516448974,GILS_cost,105,5565,0.0188679245283018,53.0,1.0192307692307692,0.3255731977716774,104,889464.0,0.0,3189.0,1166.136961451247,677.3723188461915,458833.2583390665,654.0,1638.0,0.0097087378640776,0.0305982768402577,0.0171566388938535,0.004845506491477,2.34789331589462e-05,0.0129181195041686,0.0203097234157897,0.0005640096749351,0.0011590326535161,0.000882633301264,0.000167163096276,2.79435007565948e-08,0.0007322706021517,0.0010104444984211,DBMEA_cost,705856.0,71.41003775596619,0,GILS_cost DBMEA_cost
mod_att48.tsp,275906.0,265796.0,372743.0,6.635325908660889,7.369806528091431,0.0255322456359863,DBMEA_cost,49,1225,0.04,25.0,1.0416666666666667,0.0357949731551868,48,1056208.0,0.0,44444.0,2695.0903790087464,8246.357104804112,68002405.49995326,543.0,1489.0,0.0212765957446808,0.0324320330969267,0.0240102124098541,0.0027684079832517,7.66408276173213e-06,0.0216755319148936,0.0262706855791962,2.3264526879495084e-05,0.0006122214711171,0.0005207960126725,9.480744097623616e-05,8.988450864462507e-09,0.0005047796321418,0.0005796681399898,GILS_cost,275906.0,6.635325908660889,0,DBMEA_cost GILS_cost
mod_berlin52.tsp,297560.0,292671.0,349353.0,5.956643104553223,5.542080879211426,0.0316548347473144,DBMEA_cost,53,1431,0.037037037037037,27.0,1.0384615384615383,0.0120630848404076,52,11252165.0,0.0,141271.0,5744.385190459238,26422.116693610024,698128250.5707455,305.0,827.0,0.0196078431372549,0.046018758170787,0.0279419420231929,0.0078011180781758,6.085744326964253e-05,0.021744595274007,0.0317095214154037,7.118213262764462e-06,0.0003240703232601,0.0003014152928167,4.376489996283278e-05,1.9153664687567607e-09,0.0002940810532626,0.00032087079397,GILS_cost,297560.0,5.956643104553223,0,DBMEA_cost GILS_cost
mod_burma14.tsp,32810.0,33071.0,35393.0,0.1924519538879394,0.0965476036071777,0.0010004043579101,GILS_cost,15,120,0.125,8.0,1.1428571428571428,0.0850042820795465,14,116723.0,1.0,14029.0,2047.64,4272.532063121353,18254530.2304,275.0,744.0,0.0,0.0274725274725274,0.0054945054945054,0.0089724899003046,8.050557501106954e-05,0.0,0.0082417582417582,7.48731168074103e-05,0.000769442154438,0.0006771596179544,0.00016849051447,2.838905346638393e-08,0.000686377794418,0.0007547210365492,GILS_cost,32810.0,0.1924519538879394,1,GILS_cost GILS_cost
mod_eil101.tsp,33322.0,32520.0,47644.0,35.09529232978821,75.962229013443,0.2232391834259033,DBMEA_cost,102,5253,0.0194174757281553,51.5,1.0198019801980198,0.0295569176707984,101,205567.0,0.0,1406.0,59.401191849288736,184.2805485955028,33959.32059065946,21.0,46.0,0.01,0.0756640497730944,0.0274221247581785,0.0132914766996761,0.000176663352858,0.0145526668591988,0.0374638486744514,0.0007335052107919,0.0263363754889178,0.021483531381167,0.0033443462491346,1.1184651834101005e-05,0.0196919679827552,0.0237633279981525,DBMEA_cost,32520.0,75.962229013443,1,DBMEA_cost DBMEA_cost
mod_eil51.tsp,12577.0,12306.0,14380.0,4.31977105140686,7.149182081222534,0.0305244922637939,DBMEA_cost,52,1378,0.0377358490566037,26.5,1.03921568627451,0.0357882922358559,51,52644.0,0.0,1405.0,81.87352071005917,253.65531487887813,64341.01876630281,21.0,44.0,0.02,0.0916937888288439,0.0402717867509906,0.0183806207387962,0.0003378472187434,0.0250853315985165,0.0510163997485007,0.0007351457318303,0.0200629425649095,0.0169893131302916,0.0028083523314765,7.886842817709824e-06,0.0160858208421534,0.018560718607139,DBMEA_cost,12306.0,7.149182081222534,1,DBMEA_cost DBMEA_cost
mod_eil76.tsp,21067.0,20560.0,27892.0,15.847935199737549,23.675825119018555,0.1006219387054443,DBMEA_cost,77,3003,0.0256410256410256,39.0,1.0263157894736843,0.031742455983565,76,83399.0,0.0,1399.0,66.7589812784618,210.26218787801,44210.18765124759,21.0,45.0,0.0133333333333333,0.07791003275386,0.0324943205700673,0.0162645690952514,0.0002645362078542,0.0181464273475303,0.0432741012442532,0.0007358209244234,0.0241576605212968,0.0198438741619855,0.0032172323623399,1.035058407328758e-05,0.0182123172777378,0.022022602144306,DBMEA_cost,20560.0,23.675825119018555,1,DBMEA_cost DBMEA_cost
mod_gr96.tsp,2303370.0,2367461.0,3962806.0,33.55856776237488,38.13759350776672,0.1927237510681152,GILS_cost,97,4753,0.0204081632653061,49.0,1.0208333333333333,0.256924359762997,96,3332867.0,1.0,14025.0,3957.8653416941215,2201.669974889056,4847350.678327976,2385.0,5299.0,0.0,0.0030336257309941,0.0007368345692409,0.0007005789713522,4.9081089510101e-07,0.000109649122807,0.0010964912280701,9.496244037644694e-05,0.0003377795917792,0.0002596571887721,4.584041591466136e-05,2.1013437312291383e-09,0.0002262288823586,0.0002995871314844,GILS_cost,2303370.0,33.55856776237488,1,GILS_cost GILS_cost
mod_kroA100.tsp,1225730.0,1224693.0,2152375.0,46.038737773895264,77.14578604698181,0.2168233394622802,DBMEA_cost,101,5151,0.0196078431372549,51.0,1.02,0.0170009083880471,100,10692642.0,0.0,141277.0,4390.3462405646505,19093.64469947324,364567267.9097224,978.0,2423.0,0.0101010101010101,0.0248417702564433,0.0144589340785596,0.0038327292472365,1.4689813482622175e-05,0.0108792688792688,0.0172042912123206,7.181334734363864e-06,0.0003750206261344,0.0003234869386472,4.27190982786674e-05,1.8249213577424438e-09,0.0002992497807995,0.0003495183636948,GILS_cost,1225730.0,46.038737773895264,0,DBMEA_cost GILS_cost
mod_kroB100.tsp,1261618.0,1310492.0,2226265.0,49.00820469856262,61.264394998550415,0.2180593013763427,GILS_cost,101,5151,0.0196078431372549,51.0,1.02,0.016812029936174,100,19144848.0,0.0,141320.0,4366.089991177336,19084.078980223752,364202070.52341807,962.0,2413.0,0.0101010101010101,0.0270145155472674,0.0146579247548672,0.0040279201696654,1.6224140893197678e-05,0.0109225589225589,0.0170873324206657,7.186025135709881e-06,0.0003785756469857,0.0003263294558861,4.429584118966846e-05,1.962121546700329e-09,0.0003032425728312,0.0003556175120287,GILS_cost,1261618.0,49.00820469856262,1,GILS_cost GILS_cost
