file,n,m,ratio1,ratio2,density,min,max,mean,std,var,GILS_cost,GILS_time,GRASP_cost,GRASP_time,DBMEA_cost,DBMEA_time
bip_20_9.tsp,20,210,0.09523809523809523,10.5,1.105263157894737,0.0,637.0,303.35,260.4532731604654,67835.9075,9528.0,0.5110146999359131,10788.0,0.0015032291412353516,9541.0,0.26119470596313477
bip_30_0.tsp,30,465,0.06451612903225806,15.5,1.0689655172413792,0.0,666.0,297.88,251.61478281955797,63309.99893333333,15896.0,0.8569202423095703,17836.0,0.006000995635986328,15931.0,0.958521842956543
bip_30_1.tsp,30,465,0.06451612903225806,15.5,1.0689655172413792,0.0,664.0,303.34,256.95984545795824,66028.36217777777,16383.0,1.0556426048278809,17172.0,0.00550532341003418,16509.0,0.9343376159667969
bip_30_2.tsp,30,465,0.06451612903225806,15.5,1.0689655172413792,0.0,660.0,305.74666666666667,256.65152821156806,65870.00693333332,17641.0,1.2519769668579102,19115.0,0.007076740264892578,17016.0,0.950944185256958
bip_30_3.tsp,30,465,0.06451612903225806,15.5,1.0689655172413792,0.0,675.0,316.4222222222222,269.8152362791899,72800.26172839505,16555.0,1.1345934867858887,17754.0,0.005877971649169922,17066.0,0.8368196487426758
bip_30_4.tsp,30,465,0.06451612903225806,15.5,1.0689655172413792,0.0,667.0,306.03555555555556,256.15418720897645,65614.96762469136,16196.0,1.424870252609253,18447.0,0.0065155029296875,16048.0,0.9807074069976807
bip_30_5.tsp,30,465,0.06451612903225806,15.5,1.0689655172413792,0.0,643.0,296.61555555555555,252.66018677315768,63837.169980246916,15686.0,1.0554122924804688,17130.0,0.00650477409362793,16334.0,0.7729558944702148
bip_30_6.tsp,30,465,0.06451612903225806,15.5,1.0689655172413792,0.0,647.0,309.04,265.614671950846,70551.15395555555,16437.0,1.1934928894042969,17382.0,0.00600123405456543,16458.0,0.9200921058654785
bip_30_7.tsp,30,465,0.06451612903225806,15.5,1.0689655172413792,0.0,664.0,310.8288888888889,261.7364060969418,68505.94627654321,16467.0,1.3740131855010986,19521.0,0.005505084991455078,16342.0,0.98012375831604
bip_30_8.tsp,30,465,0.06451612903225806,15.5,1.0689655172413792,0.0,672.0,303.5422222222222,256.3829241054082,65732.20377283951,16980.0,0.9919705390930176,17897.0,0.00650477409362793,17472.0,0.8570442199707031
bip_30_9.tsp,30,465,0.06451612903225806,15.5,1.0689655172413792,0.0,646.0,299.96,256.21654591380315,65646.91840000001,15573.0,1.3573987483978271,16723.0,0.006504058837890625,16026.0,0.9138205051422119
bip_40_0.tsp,40,820,0.04878048780487805,20.5,1.0512820512820513,0.0,689.0,304.85625,257.02410993122317,66061.3930859375,24346.0,2.655803680419922,29765.0,0.013754844665527344,24514.0,2.4690237045288086
bip_40_1.tsp,40,820,0.04878048780487805,20.5,1.0512820512820513,0.0,645.0,304.37125,261.1290407508087,68188.3759234375,23815.0,2.53975510597229,27258.0,0.015018463134765625,23397.0,2.2965667247772217
bip_40_2.tsp,40,820,0.04878048780487805,20.5,1.0512820512820513,0.0,643.0,300.74,256.20007298984126,65638.4774,23228.0,2.28218150138855,27456.0,0.014265060424804688,22765.0,2.617375135421753
bip_40_3.tsp,40,820,0.04878048780487805,20.5,1.0512820512820513,0.0,670.0,312.96875,263.3455814579723,69350.8952734375,23518.0,2.140129804611206,27507.0,0.01418161392211914,23955.0,2.569852352142334
bip_40_4.tsp,40,820,0.04878048780487805,20.5,1.0512820512820513,0.0,686.0,312.40125,259.6430727911636,67414.5252484375,25499.0,1.946805715560913,29193.0,0.013689994812011719,24735.0,2.6160030364990234
bip_40_5.tsp,40,820,0.04878048780487805,20.5,1.0512820512820513,0.0,667.0,312.145,265.37400772306245,70423.36397500001,24537.0,2.4238128662109375,28820.0,0.014966249465942383,24217.0,2.257974147796631
bip_40_6.tsp,40,820,0.04878048780487805,20.5,1.0512820512820513,0.0,670.0,309.06,261.7237310600626,68499.31139999999,23949.0,2.473891258239746,29077.0,0.014020204544067383,23806.0,2.6279380321502686
bip_40_7.tsp,40,820,0.04878048780487805,20.5,1.0512820512820513,0.0,697.0,311.04375,265.73805586693356,70616.7143359375,25161.0,1.9238181114196777,27829.0,0.014512062072753906,24686.0,2.7873127460479736
bip_40_8.tsp,40,820,0.04878048780487805,20.5,1.0512820512820513,0.0,662.0,315.8925,267.63217004640904,71626.97844374999,24202.0,2.6507139205932617,28459.0,0.014509201049804688,24131.0,2.5239663124084473
bip_40_9.tsp,40,820,0.04878048780487805,20.5,1.0512820512820513,0.0,679.0,307.9125,262.52957898825423,68921.77984375,22146.0,3.066056966781616,26201.0,0.014019489288330078,21998.0,2.471817970275879
bip_50_0.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,664.0,306.6,259.89954059212954,67547.7712,31841.0,4.626479387283325,38260.0,0.026545286178588867,31403.0,5.834863185882568
bip_50_1.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,687.0,311.5176,261.7485909995315,68512.32489024001,30909.0,4.769219398498535,37246.0,0.026795625686645508,31248.0,5.315812349319458
bip_50_2.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,653.0,305.0608,258.836450878465,66996.30830336001,30917.0,4.207446098327637,39387.0,0.02593994140625,31728.0,5.921715021133423
bip_50_3.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,667.0,308.368,257.3489781910937,66228.496576,32312.0,3.5688610076904297,37634.0,0.026781797409057617,31627.0,4.925985097885132
bip_50_4.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,684.0,308.9576,260.6229134252014,67924.30300224,33454.0,4.660866737365723,39110.0,0.02658867835998535,31736.0,5.079947233200073
bip_50_5.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,680.0,315.2544,267.22341678947225,71408.35448064,31120.0,4.507323265075684,38779.0,0.027538537979125977,30339.0,4.744922876358032
bip_50_6.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,685.0,311.488,265.088305769983,70271.80985599999,32359.0,4.372497797012329,40314.0,0.028040647506713867,32110.0,5.420038223266602
bip_50_7.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,643.0,312.2056,263.27567933373564,69314.08332864,31366.0,3.7220795154571533,36744.0,0.029407739639282227,31234.0,5.718053579330444
bip_50_8.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,675.0,317.0784,265.6020968543735,70544.47385344,33781.0,5.43571400642395,40190.0,0.027530431747436523,32660.0,5.124946355819702
bip_50_9.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,678.0,311.5008,261.11893458606175,68183.09799936,33127.0,4.170600652694702,40121.0,0.026532411575317383,33386.0,5.329155206680298
bip_60_0.tsp,60,1830,0.03278688524590164,30.5,1.0338983050847457,0.0,656.0,307.01722222222224,257.9243046430818,66524.94692561729,39414.0,7.2574381828308105,53206.0,0.048702239990234375,39224.0,6.886047840118408
bip_60_1.tsp,60,1830,0.03278688524590164,30.5,1.0338983050847457,0.0,675.0,308.5516666666667,260.67047652266945,67949.09733055555,39951.0,6.444403171539307,53463.0,0.04505205154418945,39748.0,7.51221227645874
bip_60_2.tsp,60,1830,0.03278688524590164,30.5,1.0338983050847457,0.0,697.0,310.365,263.8042784538483,69592.69733055556,41574.0,6.915935754776001,53439.0,0.04680609703063965,41847.0,7.431173086166382
bip_60_3.tsp,60,1830,0.03278688524590164,30.5,1.0338983050847457,0.0,678.0,309.25055555555554,260.3525729120294,67783.46222191359,41406.0,7.318868398666382,54950.0,0.04595685005187988,40944.0,7.908539056777954
bip_60_4.tsp,60,1830,0.03278688524590164,30.5,1.0338983050847457,0.0,688.0,312.5761111111111,265.1179837698866,70287.54531820987,40826.0,8.37980341911316,51572.0,0.0461277961730957,41632.0,8.051164627075195
bip_60_5.tsp,60,1830,0.03278688524590164,30.5,1.0338983050847457,0.0,697.0,314.35,264.2135704942752,69808.81083333334,39539.0,6.7373621463775635,53386.0,0.04628920555114746,37321.0,7.799190521240234
bip_60_6.tsp,60,1830,0.03278688524590164,30.5,1.0338983050847457,0.0,680.0,307.2888888888889,260.3454924366826,67779.77543209876,39726.0,7.388815879821777,51874.0,0.04707646369934082,39527.0,7.7835540771484375
bip_60_7.tsp,60,1830,0.03278688524590164,30.5,1.0338983050847457,0.0,684.0,307.39166666666665,259.38812496912806,67282.199375,41730.0,7.186307907104492,54085.0,0.04690408706665039,42111.0,8.072463989257812
bip_60_8.tsp,60,1830,0.03278688524590164,30.5,1.0338983050847457,0.0,654.0,304.4922222222222,257.18420969663737,66143.71771728394,41987.0,6.7091288566589355,51461.0,0.046562910079956055,39319.0,8.323187589645386
bip_60_9.tsp,60,1830,0.03278688524590164,30.5,1.0338983050847457,0.0,691.0,311.14722222222224,256.8948855359058,65994.98221450616,43341.0,8.910239934921265,57278.0,0.04610610008239746,41814.0,7.293873310089111
bip_70_0.tsp,70,2485,0.028169014084507043,35.5,1.0289855072463767,0.0,651.0,305.92571428571426,260.59985628138315,67912.28509387755,50102.0,12.537621021270752,68988.0,0.07200026512145996,49784.0,14.32103943824768
bip_70_1.tsp,70,2485,0.028169014084507043,35.5,1.0289855072463767,0.0,663.0,308.6061224489796,261.19151696397836,68221.00853394419,50992.0,10.312960386276245,71593.0,0.07292580604553223,51344.0,13.817934274673462
bip_70_2.tsp,70,2485,0.028169014084507043,35.5,1.0289855072463767,0.0,664.0,303.56204081632654,254.10913376976993,64571.45186522282,53085.0,10.744010210037231,70195.0,0.0715939998626709,51698.0,14.347026824951172
bip_70_3.tsp,70,2485,0.028169014084507043,35.5,1.0289855072463767,0.0,666.0,308.1171428571429,259.9643754086945,67581.47648163265,55044.0,13.124804019927979,75881.0,0.07321453094482422,51274.0,16.658445119857788
bip_70_4.tsp,70,2485,0.028169014084507043,35.5,1.0289855072463767,0.0,672.0,303.8530612244898,258.6921968183628,66921.65269471054,47785.0,10.206384181976318,64422.0,0.07378077507019043,48307.0,13.333502054214478
bip_70_5.tsp,70,2485,0.028169014084507043,35.5,1.0289855072463767,0.0,684.0,308.6363265306122,261.22011749178887,68235.94978242398,53159.0,10.505479335784912,71851.0,0.07258176803588867,49892.0,15.034013986587524
bip_70_6.tsp,70,2485,0.028169014084507043,35.5,1.0289855072463767,0.0,680.0,313.2575510204082,264.78240622644046,70109.72264706373,49193.0,12.320878267288208,71972.0,0.07256460189819336,48192.0,17.376763343811035
bip_70_7.tsp,70,2485,0.028169014084507043,35.5,1.0289855072463767,0.0,663.0,312.3420408163265,262.6960386499303,69009.20872236569,52529.0,13.498391389846802,74984.0,0.07140517234802246,48784.0,15.322206974029541
bip_70_8.tsp,70,2485,0.028169014084507043,35.5,1.0289855072463767,0.0,687.0,310.69673469387754,261.6582735397197,68465.05211178676,50432.0,12.948276996612549,73166.0,0.07321405410766602,50021.0,14.57543396949768
