file,GILS_cost,DBMEA_cost,GRASP_cost,GILS_time,DBMEA_time,GRASP_time,min_method,n,m,ratio1,ratio2,density,avg_clustering,mst_size,tsp_approx,edge_min,edge_max,edge_mean,edge_std,edge_var,edge_q25,edge_q75,between_min,between_max,between_mean,between_std,between_var,between_q25,between_q75,closeness_min,closeness_max,closeness_mean,closeness_std,closeness_var,closeness_q25,closeness_q75
mod_eil101.tsp,33322.0,32520.0,47644.0,35.09529232978821,75.962229013443,0.2232391834259033,DBMEA_cost,102,5253,0.019417475728155338,51.5,1.0198019801980198,0.02955691767079844,101,205567.0,0.0,1406.0,59.401191849288736,184.28054859550278,33959.32059065946,21.0,46.0,0.01,0.07566404977309449,0.0274221247581785,0.013291476699676143,0.0001766633528580338,0.014552666859198803,0.03746384867445142,0.0007335052107919677,0.026336375488917863,0.021483531381167008,0.00334434624913465,1.1184651834101005e-05,0.019691967982755264,0.023763327998152593
mod_eil51.tsp,12577.0,12306.0,14380.0,4.31977105140686,7.149182081222534,0.0305244922637939,DBMEA_cost,52,1378,0.03773584905660377,26.5,1.0392156862745099,0.03578829223585594,51,52644.0,0.0,1405.0,81.87352071005917,253.65531487887813,64341.01876630281,21.0,44.0,0.02,0.09169378882884392,0.040271786750990635,0.01838062073879625,0.0003378472187434668,0.025085331598516513,0.05101639974850078,0.0007351457318303687,0.02006294256490952,0.01698931313029167,0.002808352331476559,7.886842817709824e-06,0.01608582084215344,0.018560718607139072
mod_eil76.tsp,21067.0,20560.0,27892.0,15.847935199737549,23.675825119018555,0.1006219387054443,DBMEA_cost,77,3003,0.02564102564102564,39.0,1.0263157894736843,0.03174245598356501,76,83399.0,0.0,1399.0,66.7589812784618,210.26218787801002,44210.18765124759,21.0,45.0,0.013333333333333332,0.07791003275386,0.03249432057006733,0.016264569095251494,0.00026453620785421003,0.018146427347530376,0.04327410124425329,0.0007358209244234455,0.024157660521296885,0.01984387416198557,0.003217232362339963,1.035058407328758e-05,0.01821231727773784,0.022022602144306
mod_gr96.tsp,2303370.0,2367461.0,3962806.0,33.55856776237488,38.13759350776672,0.1927237510681152,GILS_cost,97,4753,0.02040816326530612,49.0,1.0208333333333333,0.256924359762997,96,3332867.0,1.0,14025.0,3957.8653416941224,2201.669974889056,4847350.678327976,2385.0,5299.0,0.0,0.003033625730994152,0.0007368345692409719,0.0007005789713522738,4.9081089510101e-07,0.00010964912280701755,0.0010964912280701754,9.496244037644694e-05,0.00033777959177928917,0.00025965718877218375,4.5840415914661356e-05,2.1013437312291383e-09,0.00022622888235862462,0.00029958713148442304
mod_kroA100.tsp,1225730.0,1224693.0,2152375.0,46.038737773895264,77.14578604698181,0.2168233394622802,DBMEA_cost,101,5151,0.0196078431372549,51.0,1.02,0.017000908388047183,100,10692642.0,0.0,141277.0,4390.3462405646505,19093.644699473236,364567267.9097224,978.0,2423.0,0.0101010101010101,0.0248417702564433,0.014458934078559669,0.003832729247236514,1.4689813482622175e-05,0.010879268879268877,0.01720429121232069,7.181334734363864e-06,0.00037502062613443737,0.00032348693864725736,4.27190982786674e-05,1.8249213577424442e-09,0.00029924978079953556,0.00034951836369482854
mod_kroB100.tsp,1261618.0,1310492.0,2226265.0,49.00820469856262,61.264394998550415,0.2180593013763427,GILS_cost,101,5151,0.0196078431372549,51.0,1.02,0.01681202993617407,100,19144848.0,0.0,141320.0,4366.089991177336,19084.078980223752,364202070.52341807,962.0,2413.0,0.0101010101010101,0.027014515547267484,0.014657924754867277,0.004027920169665441,1.6224140893197678e-05,0.010922558922558924,0.01708733242066575,7.186025135709881e-06,0.0003785756469857807,0.0003263294558861508,4.429584118966846e-05,1.962121546700329e-09,0.0003032425728312849,0.00035561751202876235
mod_kroC100.tsp,1262474.0,1258274.0,2088618.0,34.45268368721008,76.32413244247437,0.2222208976745605,DBMEA_cost,101,5151,0.0196078431372549,51.0,1.02,0.016878112526507272,100,21579968.0,0.0,141395.0,4382.6850308793255,19110.256263455907,365201894.45495576,973.0,2401.0,0.0101010101010101,0.024737753150033848,0.014230701999120337,0.003319437269836795,1.1018663788381556e-05,0.011111111111111112,0.0168549637792062,7.175586015758735e-06,0.0003721982774663719,0.00032400678502346794,4.118457385131771e-05,1.6961691233146427e-09,0.00030260940086364725,0.00034716315626855153
mod_kroD100.tsp,1256498.0,1271251.0,2175523.0,38.85083961486816,69.12156581878662,0.2159709930419922,GILS_cost,101,5151,0.0196078431372549,51.0,1.02,0.016476804798474187,100,7340977.0,0.0,141208.0,4316.144691696893,19123.744820793596,365717615.97082984,966.0,2255.0,0.0101010101010101,0.0259467745616071,0.014620917824840977,0.0037022030623916516,1.3706307515182122e-05,0.011077441077441076,0.016973407086492177,7.1733320191789075e-06,0.00038653019573889113,0.00033216952520155976,4.521243299574552e-05,2.0441640973947783e-09,0.0003046783358469296,0.0003607477579526843
mod_kroE100.tsp,1260413.0,1299854.0,2309998.0,49.1514790058136,65.90412926673889,0.461771011352539,GILS_cost,101,5151,0.0196078431372549,51.0,1.02,0.017108669626623774,100,22840688.0,0.0,141277.0,4410.90951867464,19089.76125175749,364418984.6491017,975.0,2497.0,0.0101010101010101,0.0254771187823142,0.014496359797344411,0.003807275496618449,1.4495346707151259e-05,0.011541621117378692,0.017182499318862954,7.182010385474298e-06,0.000372999324871222,0.0003212851416083015,4.24097038487472e-05,1.7985829805384431e-09,0.00030306152755132346,0.00034364379259035254
mod_lin105.tsp,828646.0,891887.0,1368192.0,36.85026240348816,69.89092063903809,0.2542247772216797,GILS_cost,106,5671,0.018691588785046728,53.5,1.019047619047619,0.012592685771467611,105,11275505.0,0.0,141325.0,3760.1495194019226,18809.230309617364,353787144.8402285,662.0,1661.0,0.009615384615384616,0.030107027611066022,0.01692949148427198,0.004754652837289947,2.2606723603149344e-05,0.012775568588509303,0.02011745081257291,7.1447118517296734e-06,0.0004570204875755716,0.000399819294532551,5.268580103250664e-05,2.7757936304368773e-09,0.0003691626486758836,0.00043047026244122074
mod_pr107.tsp,2298171.0,2333166.0,4356131.0,49.94424915313721,64.51802110671997,0.2644596099853515,GILS_cost,108,5886,0.01834862385321101,54.5,1.0186915887850467,0.04171820877368303,107,15329587.0,0.0,132200.0,7587.617283950617,16641.118402988843,276926821.7022939,2335.0,8089.25,0.009433962264150943,0.02255148949939055,0.015304296090942955,0.0035474403521422834,1.2584333052007368e-05,0.012490692813397423,0.018381531742582377,7.865597376683605e-06,0.0001677889184044058,0.00015204078493281603,1.6515940736584074e-05,2.7277629841435734e-10,0.00014603977587083296,0.00016045463869438488
mod_pr76.tsp,3738172.0,4267254.0,5687786.0,14.904951095581056,25.80138349533081,0.0976319313049316,GILS_cost,77,3003,0.02564102564102564,39.0,1.0263157894736843,0.060641870364815,76,9944533.0,0.0,140715.0,10578.913476134256,19650.864305106235,386156467.9376983,4650.0,10210.0,0.013333333333333332,0.02059703973739061,0.015796841843402097,0.0017979233764322915,3.232528467521691e-06,0.01432748538011696,0.01704545677920291,7.740168254962772e-06,0.00014089912179060537,0.00011114163460431517,2.1496714309457933e-05,4.621087261024535e-10,0.00010168938175531929,0.00012339605424880216
mod_rat99.tsp,63993.0,64328.0,99191.0,31.700262308120728,72.22724914550781,0.2127726078033447,GILS_cost,100,5050,0.019801980198019802,50.5,1.02020202020202,0.06331455268131146,99,173495.0,0.0,1406.0,108.2848,176.42795041874743,31126.821688960004,48.0,119.0,0.01020408163265306,0.06496805749767785,0.025655284927961253,0.012595902679091215,0.00015865676430113724,0.014210581841378231,0.03260283935489712,0.0007669246322247786,0.013288590604026845,0.010454795706584282,0.0018793541424669455,3.5319719928076682e-06,0.008979403283366678,0.011924842063401433
mod_st70.tsp,25201.0,24686.0,35934.0,16.0758216381073,15.771074056625366,0.075700044631958,DBMEA_cost,71,2556,0.027777777777777776,36.0,1.0285714285714285,0.045940989816247155,70,194197.0,0.0,1403.0,87.27117635389804,213.14910374868603,45432.540428868124,33.0,72.0,0.014492753623188406,0.06296918304337314,0.030475777134131386,0.01259473692983637,0.00015862739833178409,0.01833963060766893,0.04094238056268186,0.0007466427740978955,0.0172244094488189,0.014169158083163843,0.002235963115470071,4.999531053742626e-06,0.01315666111364556,0.015488507421255189
pr107.tsp,2113117.0,2188050.0,4091497.0,46.112234115600586,60.45160079002381,0.2660596370697021,GILS_cost,107,5778,0.018518518518518517,54.0,1.0188679245283019,0.41882922136695955,106,2851827.0,0.0,10691.0,5353.732203685911,3134.1516036546373,9822906.274690934,2300.0,8054.0,0.009523809523809523,0.022891194420672743,0.015538075843784974,0.003581058296348031,1.2823978521843063e-05,0.012690703156297892,0.01866891945100617,0.00015978317724325782,0.0002075224946553169,0.00018599833225472093,1.3186869308815074e-05,1.7389352216776894e-10,0.00017517781257577868,0.00019690727840570871
pr76.tsp,3466012.0,3715885.0,5131147.0,12.177507638931274,22.70819664001465,0.0950965881347656,GILS_cost,76,2926,0.025974025974025976,38.5,1.0266666666666666,0.30493391953453025,75,4533381.0,0.0,22674.0,7459.237534626039,3982.5057236627626,15860351.839006666,4553.0,9876.0,0.013513513513513514,0.020973536306869642,0.015998552490812556,0.0018234573571385834,3.324996733302827e-06,0.014414414414414415,0.017232892556421967,7.871990931466448e-05,0.00018279396926136612,0.0001382455374774754,2.6707533904904452e-05,7.132923672816209e-10,0.00012193098189903534,0.00015354481644157432
random_100_0.tsp,199443.0,193832.0,343833.0,38.02773690223694,67.89569044113159,0.2137091159820556,DBMEA_cost,100,5050,0.019801980198019802,50.5,1.02020202020202,0.3618666106741226,99,206000.0,0.0,645.0,251.964,121.29356250024155,14712.128304000002,160.0,343.0,0.01020408163265306,0.03403310506623603,0.018682696988543874,0.0070784753776980975,5.010481367267822e-05,0.012430733642244564,0.02425082001867194,0.002580544260243979,0.005322008386195033,0.004028296102048852,0.0006220137622090095,3.8690112037740616e-07,0.0035980180679302427,0.004455648263607194
