file,n,m,ratio1,ratio2,density,avg_clustering,mst_size,tsp_approx,edge_min,edge_max,edge_mean,edge_std,edge_var,edge_q25,edge_q75,between_min,between_max,between_mean,between_std,between_var,between_q25,between_q75,closeness_min,closeness_max,closeness_mean,closeness_std,closeness_var,closeness_q25,closeness_q75,GILS_cost,GILS_time,GRASP_cost,GRASP_time,DBMEA_cost,DBMEA_time
srandom_52_42.tsp,52,1378,0.0377358490566037,26.5,1.03921568627451,0.390508572359343,51,778585.0,0.0,5988.0,2510.4866863905327,1249.0751045019883,1560188.616686653,1539.5,3423.25,0.02,0.0293320883909119,0.0231367042543513,0.0025719629843707,6.61499359297332e-06,0.021078431372549,0.0246551509492685,0.0002704996287259,0.0005217391304347,0.0003998730626589,5.9297325322792615e-05,3.516172790437102e-09,0.0003565649938536,0.0004426223910613,667441.0,5.071667671203613,803685.0,0.04870176315307617,679494.0,5.932891368865967
srandom_52_6.tsp,52,1378,0.0377358490566037,26.5,1.03921568627451,0.3897742329572979,51,805697.0,0.0,6262.0,2642.3579881656806,1322.0686690302646,1747865.5656314555,1588.5,3733.5,0.02,0.0333202614379085,0.023348954966602,0.0030549262124396,9.332574163451062e-06,0.0209803921568627,0.0253572984749455,0.0002606549082341,0.0004816637231661,0.0003786299914345,5.204915195628233e-05,2.7091142193681686e-09,0.0003447625416221,0.0004177727681463,674159.0,7.547082424163818,1030004.0,0.04916214942932129,651663.0,5.735490798950195
srandom_52_78.tsp,52,1378,0.0377358490566037,26.5,1.03921568627451,0.4309183384638174,51,737889.0,0.0,5183.0,2404.391272189349,1222.600761816239,1494752.6227936477,1440.0,3352.0,0.02,0.0296906318082788,0.0231955028975152,0.003067187554731,9.40763949589704e-06,0.02,0.0254929193899782,0.000301598471901,0.0005533974261594,0.0004198611031112,7.129485934603762e-05,5.082956969171287e-09,0.0003645871097984,0.000475241844328,665651.0,6.801578521728516,842197.0,0.050177812576293945,657690.0,7.74712872505188
srandom_54_44.tsp,54,1485,0.0363636363636363,27.5,1.0377358490566038,0.4105641683925012,53,812655.0,0.0,5952.0,2635.684499314129,1301.5176249934182,1693948.1281685077,1585.0,3675.0,0.0192307692307692,0.0288599765014859,0.0223817640353279,0.0026799964316116,7.182380873451084e-06,0.0200774068698597,0.0242198838896952,0.0002710054814693,0.0004853657643137,0.0003795396054086,5.142868434574144e-05,2.64490957353391e-09,0.0003392050209342,0.0004172376915414,706525.0,7.575666427612305,1033773.0,0.0539555549621582,703789.0,7.127729654312134
srandom_54_80.tsp,54,1485,0.0363636363636363,27.5,1.0377358490566038,0.3447826100076131,53,832870.0,0.0,6499.0,2406.4211248285324,1245.734152411253,1551853.578483783,1476.0,3290.0,0.0192307692307692,0.0328011611030478,0.0228078292543701,0.0036176411956633,1.3087327820560631e-05,0.0197447992259313,0.0250578823692031,0.00028308638942,0.0005501692029812,0.0004230454357328,7.893465131732561e-05,6.230679178587773e-09,0.0003626688675454,0.0004884477504125,685868.0,4.769264459609985,870310.0,0.054058074951171875,698267.0,6.162094831466675
srandom_55_37.tsp,55,1540,0.0357142857142857,28.0,1.037037037037037,0.3816339582011621,54,651576.0,0.0,5981.0,2453.469752066116,1223.3615635619606,1496613.515200765,1537.0,3325.0,0.0188679245283018,0.0309340787328208,0.0226539601002938,0.003281502363866,1.0768257764058629e-05,0.0200326112275797,0.0248164852207387,0.0002807411566535,0.000547378664396,0.0004124214090888,7.112879872650905e-05,5.0593060082762364e-09,0.000365213654188,0.0004828602310282,602589.0,7.968745470046997,994315.0,0.058057546615600586,654129.0,8.197167158126831
srandom_56_32.tsp,56,1596,0.0350877192982456,28.5,1.0363636363636364,0.4185678343939842,55,1059103.0,0.0,5665.0,2545.874362244898,1238.6021859980033,1534135.3751590322,1592.75,3474.25,0.0185185185185185,0.0292287958954625,0.0218740434649525,0.0031485514180984,9.913376032409632e-06,0.0188776655443322,0.0239846881513548,0.0002701813162251,0.0005036491671474,0.0003936204514493,5.504156092270439e-05,3.029573428807779e-09,0.0003522456312407,0.0004371984593045,729612.0,8.121782779693604,1010380.0,0.060400962829589844,752947.0,8.600042343139648
srandom_59_20.tsp,59,1770,0.0333333333333333,30.0,1.0344827586206895,0.382487250091624,58,950506.0,0.0,6248.0,2561.808675667912,1242.927888676057,1544869.7364487203,1603.0,3487.0,0.0175438596491228,0.0279491833030853,0.0207316866749639,0.0029779619800414,8.86825755457212e-06,0.0179471667674934,0.0229841845994296,0.0002805116920175,0.0005131108673343,0.0003926205639886,5.926588425798054e-05,3.5124450368803463e-09,0.0003455677074107,0.0004276703025045,825996.0,7.066918611526489,1110830.0,0.07093167304992676,815841.0,8.918941497802734
srandom_59_50.tsp,59,1770,0.0333333333333333,30.0,1.0344827586206895,0.3928222351258784,58,1018413.0,0.0,6436.0,2743.050272910083,1370.6504969867567,1878682.784890043,1720.0,3782.0,0.0175438596491228,0.0324059670248418,0.0206621631057941,0.003213931153974,1.0329353462485047e-05,0.0180479935470861,0.0222971439396121,0.0002555888016851,0.000472936610186,0.0003659008934255,5.298885637448675e-05,2.807818899875984e-09,0.0003222644467309,0.0003954290833516,793692.0,10.545172929763794,1231060.0,0.07049989700317383,789531.0,6.3499672412872314
srandom_60_77.tsp,60,1830,0.0327868852459016,30.5,1.0338983050847457,0.3746399175348001,59,1212312.0,0.0,6393.0,2572.863333333333,1261.5471362092571,1591501.1768777778,1604.5,3512.75,0.0172413793103448,0.0283679135008766,0.0203524650879998,0.0030667162696215,9.404748678361746e-06,0.0178014806156243,0.0222301077064373,0.0002649089880476,0.0005071473391956,0.0003914964917244,5.978666169373526e-05,3.574444916481151e-09,0.0003496095264099,0.0004324269220381,915503.0,10.389683246612549,1292934.0,0.07485723495483398,846649.0,8.843135595321655
srandom_62_60.tsp,62,1953,0.0317460317460317,31.5,1.0327868852459017,0.3720341115660987,61,1058147.0,0.0,6071.0,2421.5140478668054,1202.265569473946,1445442.4995425118,1534.0,3274.0,0.0166666666666666,0.0307455113192818,0.0204040007698786,0.0037321120045616,1.3928660014593392e-05,0.0173041894353369,0.0223920410190901,0.0002932734606749,0.0005550298442276,0.0004196640729008,7.569702685077001e-05,5.730039874046196e-09,0.0003584241746752,0.0004828873168583,840770.0,7.411708354949951,1152921.0,0.08212161064147949,844028.0,11.410872220993042
srandom_62_8.tsp,62,1953,0.0317460317460317,31.5,1.0327868852459017,0.3807759942290327,61,1075734.0,0.0,6185.0,2519.209677419354,1226.0135942340191,1503109.333246618,1616.0,3389.0,0.0166666666666666,0.0272691580357925,0.0199646410145445,0.0028917467702817,8.36219938343517e-06,0.0175182149362477,0.0215619307832422,0.0002886398909792,0.0005307024412312,0.000401583562116,6.643550652534924e-05,4.413676527279721e-09,0.0003424071629522,0.0004574958845223,932331.0,7.729027986526489,1286223.0,0.08199334144592285,913768.0,11.225935220718384
srandom_63_28.tsp,63,2016,0.03125,32.0,1.032258064516129,0.3967473895724645,62,1145863.0,0.0,6301.0,2684.47871000252,1322.3147884337168,1748516.3997105053,1689.0,3612.0,0.0163934426229508,0.0283661957643977,0.0195168893497034,0.0028915250452853,8.360917087512513e-06,0.0173176198030772,0.0211528291909042,0.0002695054574855,0.0005023985479061,0.0003777638696505,6.630198801284447e-05,4.395953614455372e-09,0.0003208736047479,0.0004245005451121,1048227.0,10.267814636230469,1497467.0,0.0866546630859375,953816.0,10.445491552352905
srandom_63_75.tsp,63,2016,0.03125,32.0,1.032258064516129,0.4187387673353925,62,1124760.0,0.0,6117.0,2765.356009070295,1345.176472808691,1809499.7429980307,1702.0,3853.0,0.0163934426229508,0.0251358107783279,0.0191877573283229,0.0027066767439601,7.326098996294936e-06,0.0167900581702802,0.0215427295543636,0.0002777553781505,0.0004687098383707,0.0003619837770726,4.7305786503727247e-05,2.2378374367362228e-09,0.0003212564716458,0.000400124038284,1008296.0,12.08163046836853,1445889.0,0.08513140678405762,902681.0,9.654662609100342
srandom_64_10.tsp,64,2080,0.0307692307692307,32.5,1.031746031746032,0.3872958761487192,63,1019867.0,0.0,6115.0,2554.34423828125,1256.8071071745803,1579564.104644537,1607.5,3501.25,0.0161290322580645,0.0277733076504197,0.0195868884814977,0.0027577925919084,7.605419979985333e-06,0.017131763099505,0.0211689992603971,0.0002824592787873,0.0005079948716708,0.0003949685325246,6.108036111399071e-05,3.730810513815509e-09,0.0003447276491763,0.0004340079202128,980476.0,10.738194465637207,1322944.0,0.0887293815612793,897289.0,16.4147367477417
srandom_65_38.tsp,65,2145,0.0303030303030303,33.0,1.03125,0.3767804683629538,64,1106103.0,0.0,6295.0,2540.0279289940827,1243.885699833211,1547251.634249557,1593.0,3443.0,0.0158730158730158,0.0263853458049886,0.0190279931877917,0.0028732254970354,8.255424756814612e-06,0.0164517195767195,0.0207876669186192,0.0002765654033965,0.0005235259472547,0.0003989542159048,6.684978460333301e-05,4.46889370151202e-09,0.0003448368759934,0.000447752840432,1056565.0,8.542091608047485,1389059.0,0.09311056137084961,996059.0,13.909556150436401
srandom_65_72.tsp,65,2145,0.0303030303030303,33.0,1.03125,0.4059179690569807,64,1101680.0,0.0,6243.0,2714.742721893492,1299.4702747169958,1688622.9948730648,1707.0,3711.0,0.0158730158730158,0.0270006613756613,0.0189292123220694,0.0029750473545925,8.8509067620681e-06,0.0163690476190476,0.0206679894179894,0.0002725016073336,0.0004913439023453,0.0003708415965649,5.680028931250105e-05,3.2262728659838206e-09,0.0003284240775901,0.0004004329681468,1080343.0,10.47855806350708,1517834.0,0.09461808204650879,1038951.0,15.170342922210693
