file,n,m,ratio1,ratio2,density,min,max,mean,std,var,GILS_cost,GILS_time,GRASP_cost,GRASP_time,DBMEA_cost,DBMEA_time
line_40_7.tsp,40,820,0.04878048780487805,20.5,1.0512820512820513,0.0,376.0,138.665,101.0708552204838,10215.317774999998,9886.0,1.9720466136932373,11502.0,0.0220181941986084,10688.0,3.338783025741577
line_40_8.tsp,40,820,0.04878048780487805,20.5,1.0512820512820513,0.0,371.0,132.0225,95.17433736963973,9058.15449375,10506.0,2.9000403881073,15536.0,0.022363662719726562,9618.0,2.6735787391662598
line_40_9.tsp,40,820,0.04878048780487805,20.5,1.0512820512820513,0.0,341.0,113.40375,81.72783024121894,6679.4382359375,7813.0,3.82096266746521,16675.0,0.023019790649414062,8201.0,2.37716007232666
line_50_0.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,461.0,152.4792,109.5409255363492,11999.21436736,11565.0,3.9618113040924072,20473.0,0.04157257080078125,11879.0,4.877816915512085
line_50_1.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,488.0,164.9504,120.70892899798258,14570.645539840001,16642.0,5.540175437927246,28498.0,0.04073667526245117,13324.0,5.524014711380005
line_50_2.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,491.0,180.564,129.39763021013945,16743.746703999997,18451.0,4.750104665756226,27735.0,0.041046857833862305,19343.0,6.042872905731201
line_50_3.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,485.0,167.3456,119.64479663002483,14314.877360640001,16710.0,3.9983720779418945,21970.0,0.04103541374206543,16804.0,6.712091445922852
line_50_4.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,497.0,178.6664,130.3688855173657,16996.04631104,14695.0,4.233505964279175,19467.0,0.04203343391418457,15879.0,6.5193400382995605
line_50_5.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,488.0,175.2672,128.35505990867674,16475.021404159997,14866.0,4.6776039600372314,28456.0,0.04088544845581055,13988.0,4.965826988220215
line_50_6.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,488.0,163.3912,118.84055100242509,14123.076562559998,11513.0,4.112323045730591,18285.0,0.04055666923522949,12361.0,5.563222646713257
line_50_7.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,495.0,169.5872,121.52037852212278,14767.20239616,15204.0,5.88971734046936,35184.0,0.04046440124511719,16936.0,5.631402015686035
line_50_8.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,487.0,147.4496,107.29497779411672,11512.21225984,15866.0,5.104918003082275,23210.0,0.04189109802246094,16486.0,5.345238447189331
line_50_9.tsp,50,1275,0.0392156862745098,25.5,1.0408163265306123,0.0,463.0,152.984,110.04771939481527,12110.500544,17212.0,3.771178960800171,24460.0,0.04403853416442871,16892.0,5.308720111846924
